# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753259143.780935 13.415203 -0.010954 -0.120235 0.297345 -0.013583 2.372855 0.100000
1753259143.880154 13.444719 -0.014540 -0.121561 0.275125 -0.002996 2.368707 0.100000
1753259143.980356 13.472958 -0.017996 -0.121907 0.275125 -0.002996 2.365230 0.100000
1753259144.080628 13.500264 -0.021345 -0.122184 0.252925 -0.013163 2.360667 0.100000
1753259144.180819 13.526251 -0.024551 -0.123436 0.252925 -0.013163 2.356121 0.100000
1753259144.281050 13.551348 -0.027682 -0.124786 0.230729 -0.023917 2.353536 0.100000
1753259144.380119 13.575123 -0.030692 -0.127147 0.230729 -0.023917 2.349464 0.100000
1753259144.480225 13.598006 -0.033645 -0.129573 0.252981 -0.034870 2.348743 0.100000
1753259144.580261 13.622150 -0.036833 -0.132972 0.252981 -0.034870 2.344446 0.100000
1753259144.680300 13.647216 -0.040230 -0.136451 0.230693 -0.024322 2.339060 0.100000
1753259144.780525 13.671045 -0.043533 -0.138983 0.230693 -0.024322 2.336323 0.100000
1753259144.880757 13.693887 -0.046757 -0.141397 0.208502 -0.013645 2.329486 0.100000
1753259144.980934 13.715453 -0.049843 -0.142844 0.208502 -0.013645 2.309392 0.100000
1753259145.081139 13.736088 -0.052825 -0.144208 0.186306 -0.003099 2.288788 0.100000
1753259145.181251 13.755363 -0.055628 -0.144582 0.186306 -0.003099 2.269135 0.100000
1753259145.281288 13.773798 -0.058315 -0.144910 0.171702 -0.013849 2.247816 0.100000
1753259145.381392 13.791184 -0.060863 -0.146238 0.171702 -0.013849 2.232214 0.100000
